T,I_1,I_2,I_3
23.895,-0.0246896055497336,1.61219430167675,0.951225479956868
23.8968,-0.0251231861621886,1.6125655078513,0.951246885622717
23.8986,-0.0255556525133094,1.61293640879178,0.951268256629138
23.9004,-0.0259869991564605,1.61330700256778,0.951289593031916
23.9022,-0.0264172206792227,1.61367728725471,0.951310894886761
23.904,-0.0268463117033918,1.61404726093377,0.951332162249305
23.9058,-0.0272742668849795,1.61441692169201,0.951353395175105
23.9076,-0.0277010809142131,1.61478626762225,0.95137459371964
23.9094,-0.0281267485155354,1.61515529682316,0.951395757938311
23.9112,-0.0285512644476048,1.6155240073992,0.951416887886446
23.913,-0.0289746235032951,1.61589239746064,0.951437983619293
23.9148,-0.0293968205096962,1.61626046512357,0.951459045192024
23.9166,-0.0298178503281131,1.6166282085099,0.951480072659736
23.9184,-0.0302377078540666,1.61699562574734,0.951501066077446
23.9202,-0.030656388017293,1.61736271496941,0.951522025500098
23.922,-0.0310738857817443,1.61772947431546,0.951542950982557
23.9238,-0.0314901961455881,1.61809590193064,0.951563842579612
23.9256,-0.0319053141412073,1.6184619959659,0.951584700345974
23.9274,-0.0323192348352009,1.61882775457802,0.95160552433628
23.9292,-0.032731953328383,1.61919317592959,0.951626314605087
23.931,-0.0331434647557836,1.61955825818901,0.951647071206879
23.9328,-0.0335537642866481,1.61992299953049,0.951667794196059
23.9346,-0.0339628471244377,1.62028739813405,0.951688483626957
23.9364,-0.0343707085068289,1.62065145218553,0.951709139553824
23.9382,-0.0347773437057141,1.62101515987658,0.951729762030836
23.94,-0.0351827480272011,1.62137851940466,0.95175035111209
23.9418,-0.0355869168116133,1.62174152897305,0.951770906851609
23.9436,-0.0359898454334898,1.62210418679081,0.951791429303338
23.9454,-0.036391529301585,1.62246649107287,0.951811918521144
23.9472,-0.0367919638588695,1.62282844003991,0.951832374558819
23.949,-0.0371911445825286,1.62319003191847,0.951852797470079
23.9508,-0.0375890669839642,1.62355126494088,0.95187318730856
23.9526,-0.0379857266087928,1.62391213734528,0.951893544127825
23.9544,-0.0383811190368473,1.62427264737564,0.951913867981358
23.9562,-0.0387752398821757,1.62463279328172,0.951934158922567
23.958,-0.0391680847930418,1.6249925733191,0.951954417004784
23.9598,-0.0395596494519249,1.62535198574919,0.951974642281262
23.9616,-0.03994992957552,1.62571102883918,0.951994834805179
23.9634,-0.0403389209147375,1.6260697008621,0.952014994629638
23.9652,-0.0407266192547035,1.62642800009678,0.952035121807661
23.967,-0.0411130204147599,1.62678592482787,0.952055216392197
23.9688,-0.0414981202484637,1.62714347334581,0.952075278436117
23.9706,-0.0418819146435881,1.62750064394688,0.952095307992215
23.9724,-0.0422643995221212,1.62785743493316,0.952115305113208
23.9742,-0.0426455708402672,1.62821384461253,0.952135269851737
23.976,-0.043025424588446,1.62856987129872,0.952155202260366
23.9778,-0.0434039567912924,1.62892551331123,0.952175102391583
23.9796,-0.0437811635076576,1.62928076897538,0.952194970297798
23.9814,-0.0441570408306077,1.62963563662234,0.952214806031345
23.9832,-0.044531584887425,1.62999011458904,0.952234609644482
23.985,-0.0449047918396068,1.63034420121825,0.952254381189388
23.9868,-0.0452766578828666,1.63069789485856,0.952274120718168
23.9886,-0.0456471792471329,1.63105119386434,0.952293828282849
23.9904,-0.0460163521965501,1.63140409659582,0.952313503935381
23.9922,-0.0463841730294784,1.63175660141899,0.952333147727638
23.994,-0.046750638078493,1.63210870670569,0.952352759711417
23.9958,-0.0471157437103854,1.63246041083356,0.952372339938437
23.9976,-0.047479486326162,1.63281171218604,0.952391888460343
23.9994,-0.0478418623610453,1.63316260915241,0.952411405328701
24.0012,-0.0482028682844732,1.63351310012774,0.952430890595001
24.003,-0.0485625006000989,1.63386318351291,0.952450344310656
24.0048,-0.048920755845792,1.63421285771463,0.952469766527004
24.0066,-0.0492776305936368,1.6345621211454,0.952489157295304
24.0084,-0.0496331214499336,1.63491097222357,0.95250851666674
24.0102,-0.0499872250551984,1.63525940937325,0.952527844692417
24.012,-0.0503399380841626,1.63560743102441,0.952547141423366
24.0138,-0.0506912572457732,1.6359550356128,0.952566406910539
24.0156,-0.0510411792831927,1.63630222157999,0.952585641204814
24.0174,-0.0513897009737996,1.63664898737338,0.952604844356989
24.0192,-0.0517368191291875,1.63699533144616,0.952624016417788
24.021,-0.0520825305951658,1.63734125225734,0.952643157437857
24.0228,-0.0524268322517595,1.63768674827175,0.952662267467764
24.0246,-0.0527697210132093,1.63803181796001,0.952681346558004
24.0264,-0.0531111938279712,1.63837645979858,0.952700394758992
24.0282,-0.0534512476787168,1.63872067226972,0.952719412121068
24.03,-0.053789879582334,1.63906445386149,0.952738398694493
24.0318,-0.0541270865899253,1.63940780306779,0.952757354529455
24.0336,-0.0544628657868093,1.6397507183883,0.952776279676062
24.0354,-0.05479721429252,1.64009319832853,0.952795174184346
24.0372,-0.0551301292608074,1.64043524139982,0.952814038104264
24.039,-0.0554616078796367,1.64077684611928,0.952832871485694
24.0408,-0.0557916473711884,1.64111801100987,0.952851674378439
24.0426,-0.0561202449918596,1.64145873460033,0.952870446832225
24.0444,-0.056447398032262,1.64179901542525,0.9528891888967
24.0462,-0.0567731038172233,1.642138852025,0.952907900621437
24.048,-0.0570973597057866,1.64247824294578,0.95292658205593
24.0498,-0.0574201630912111,1.64281718673958,0.952945233249599
24.0516,-0.0577415114009709,1.64315568196424,0.952963854251787
24.0534,-0.0580614020967562,1.64349372718338,0.952982445111757
24.0552,-0.0583798326744723,1.64383132096644,0.953001005878699
24.057,-0.0586968006642409,1.64416846188868,0.953019536601725
24.0588,-0.0590123036303985,1.64450514853116,0.95303803732987
24.0606,-0.0593263391714972,1.64484137948077,0.953056508112092
24.0624,-0.0596389049203055,1.6451771533302,0.953074948997274
24.0642,-0.0599499985438067,1.64551246867794,0.953093360034219
24.066,-0.0602596177432,1.64584732412833,0.953111741271657
24.0678,-0.0605677602538998,1.64618171829147,0.953130092758239
24.0696,-0.0608744238455369,1.64651564978333,0.95314841454254
24.0714,-0.0611796063219571,1.64684911722564,0.953166706673058
24.0732,-0.0614833055212215,1.64718211924597,0.953184969198215
24.075,-0.0617855193156078,1.6475146544777,0.953203202166356
24.0768,-0.0620862456116084,1.64784672156002,0.953221405625748
24.0786,-0.0623854823499315,1.64817831913794,0.953239579624582
24.0804,-0.0626832275055011,1.64850944586226,0.953257724210974
