T,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10
0.2358,0,0,0,0.109034695362837,0,0,0,0,0,0
0.2376,0,0,0,0.110632863047924,0,0,0,0,0,0
0.2394,0,0,0,0.112241463014839,0,0,0,0,0,0
0.2412,0,0,0,0.11386046740404,0,0,0,0,0,0
0.243,0,0,0,0.115489848351484,0,0,0,0,0,0
0.2448,0,0,0,0.117129577988623,0,0,0,0,0,0
0.2466,0,0,0,0.118779628442403,0,0,0,0,0,0
0.2484,0,0,0,0.120439971835266,0,0,0,0,0,0
0.2502,0,0,0,0.122110580285152,0,0,0,0,0,0
0.252,0,0,0,0.123791425905496,0,0,0,0,0,0
0.2538,0,0,0,0.125482480805225,0,0,0,0,0,0
0.2556,0,0,0,0.127183717088768,0,0,0,0,0,0
0.2574,0,0,0,0.128895106856045,0,0,0,0,0,0
0.2592,0,0,0,0.130616622202473,0,0,0,0,0,0
0.261,0,0,0,0.132348235218965,0,0,0,0,0,0
0.2628,0,0,0,0.13408991799193,0,0,0,0,0,0
0.2646,0,0,0,0.135841642603272,0,0,0,0,0,0
0.2664,0,0,0,0.137603381130392,0,0,0,0,0,0
0.2682,0,0,0,0.139375105646186,0,0,0,0,0,0
0.27,0,0,0,0.141156788219044,0,0,0,0,0,0
0.2718,0,0,0,0.142948400912854,0,0,0,0,0,0
0.2736,0,0,0,0.144749915787,0,0,0,0,0,0
0.2754,0,0,0,0.14656130489636,0,0,0,0,0,0
0.2772,0,0,0,0.148382540291309,0,0,0,0,0,0
0.279,0,0,0,0.150213594017717,0,0,0,0,0,0
0.2808,0,0,0,0.15205443811695,0,0,0,0,0,0
0.2826,0,0,0,0.153905044625869,0,0,0,0,0,0
0.2844,0,0,0,0.155765385576833,0,0,0,0,0,0
0.2862,0,0,0,0.157635432997694,0,0,0,0,0,0
0.288,0,0,0,0.159515158911801,0,0,0,0,0,0
0.2898,0,0,0,0.161404535338,0,0,0,0,0,0
0.2916,0,0,0,0.16330353429063,0,0,0,0,0,0
0.2934,0,0,0,0.165212127779527,0,0,0,0,0,0
0.2952,0,0,0,0.167130287810024,0,0,0,0,0,0
0.297,0,0,0,0.169057986382947,0,0,0,0,0,0
0.2988,0,0,0,0.170995195494621,0,0,0,0,0,0
0.3006,0,0,0,0.172941887136864,0,0,0,0,0,0
0.3024,0,0,0,0.174898033296992,0,0,0,0,0,0
0.3042,0,0,0,0.176863605957814,0,0,0,0,0,0
0.306,0,0,0,0.178838577097637,0,0,0,0,0,0
0.3078,0,0,0,0.180822918690263,0,0,0,0,0,0
0.3096,0,0,0,0.182816602704989,0,0,0,0,0,0
0.3114,0,0,0,0.18481960110661,0,0,0,0,0,0
0.3132,0,0,0,0.186831885855414,0,0,0,0,0,0
0.315,0,0,0,0.188853428907186,0,0,0,0,0,0
0.3168,0,0,0,0.190884202213207,0,0,0,0,0,0
0.3186,0,0,0,0.192924177720254,0,0,0,0,0,0
0.3204,0,0,0,0.194973327370597,0,0,0,0,0,0
0.3222,0,0,0,0.197031623102006,0,0,0,0,0,0
0.324,0,0,0,0.199099036847744,0,0,0,0,0,0
0.3258,0,0,0,0.20117554053657,0,0,0,0,0,0
0.3276,0,0,0,0.203261106092739,0,0,0,0,0,0
0.3294,0,0,0,0.205355705436002,0,0,0,0,0,0
0.3312,0,0,0,0.207459310481605,0,0,0,0,0,0
0.333,0,0,0,0.209571893140291,0,0,0,0,0,0
0.3348,0,0,0,0.211693425318298,0,0,0,0,0,0
0.3366,0,0,0,0.213823878917359,0,0,0,0,0,0
0.3384,0,0,0,0.215963225834704,0,0,0,0,0,0
0.3402,0,0,0,0.218111437963058,0,0,0,0,0,0
0.342,0,0,0,0.220268487190642,0,0,0,0,0,0
0.3438,0,0,0,0.222434345401173,0,0,0,0,0,0
0.3456,0,0,0,0.224608984473862,0,0,0,0,0,0
0.3474,0,0,0,0.226792376283419,0,0,0,0,0,0
0.3492,0,0,0,0.228984492700046,0,0,0,0,0,0
0.351,0,0,0,0.231185305589444,0,0,0,0,0,0
0.3528,0,0,0,0.233394786812808,0,0,0,0,0,0
0.3546,0,0,0,0.235612908226828,0,0,0,0,0,0
0.3564,0,0,0,0.237839641683692,0,0,0,0,0,0
0.3582,0,0,0,0.240074959031082,0,0,0,0,0,0
0.36,0,0,0,0.242318832112176,0,0,0,0,0,0
0.3618,0,0,0,0.244571232765649,0,0,0,0,0,0
0.3636,0,0,0,0.24683213282567,0,0,0,0,0,0
0.3654,0,0,0,0.249101504121904,0,0,0,0,0,0
0.3672,0,0,0,0.251379318479512,0,0,0,0,0,0
0.369,0,0,0,0.253665547719152,0,0,0,0,0,0
0.3708,0,0,0,0.255960163656976,0,0,0,0,0,0
0.3726,0,0,0,0.258263138104633,0,0,0,0,0,0
0.3744,0,0,0,0.260574442869266,0,0,0,0,0,0
0.3762,0,0,0,0.262894049753516,0,0,0,0,0,0
0.378,0,0,0,0.265221930555517,0,0,0,0,0,0
0.3798,0,0,0,0.267558057068902,0,0,0,0,0,0
0.3816,0,0,0,0.269902401082797,0,0,0,0,0,0
0.3834,0,0,0,0.272254934381825,0,0,0,0,0,0
0.3852,0,0,0,0.274615628746104,0,0,0,0,0,0
0.387,0,0,0,0.27698445595125,0,0,0,0,0,0
0.3888,0,0,0,0.27936138776837,0,0,0,0,0,0
0.3906,0,0,0,0.281746395964072,0,0,0,0,0,0
0.3924,0,0,0,0.284139452300458,0,0,0,0,0,0
0.3942,0,0,0,0.286540528535123,0,0,0,0,0,0
0.396,0,0,0,0.288949596421161,0,0,0,0,0,0
0.3978,0,0,0,0.29136662770716,0,0,0,0,0,0
0.3996,0,0,0,0.293791594137205,0,0,0,0,0,0
0.4014,0,0,0,0.296224467450876,0,0,0,0,0,0
0.4032,0,0,0,0.298665219383248,0,0,0,0,0,0
